account_id,account_number,customer_id,account_type,account_balance,credit_score
38,AUBU14847107201498,2664,Credit,2005.46,726
39,NBZA61676953027021,16153,Savings,2308.42,712
40,ALLO91128019727595,4308,Credit,2365.2,666
41,ZPFG76405811294221,726,Credit,1875.0,737
42,MZUP71921213605338,13106,Savings,3436.36,601
43,DQOG56681495185543,19241,Credit,891.83,651
44,AGNJ28629482258529,10173,Credit,986.15,719
45,KMSC29038486365796,4256,Credit,2293.89,614
46,RMRH61641381851927,2161,Savings,2544.64,701
47,YQRW04249897371221,19946,Savings,2452.1,738
48,XKEI24239708815722,13573,Credit,1889.91,649
49,MQDX68748549158315,13796,Credit,4416.85,696
50,MIAR18850437528212,20818,Checking,2340.17,727
51,SBUL86773229228549,17335,Checking,2214.14,736
52,RVZP31461557288221,15328,Credit,1470.36,738
53,LMSI37243376284260,26201,Savings,3079.67,727
54,DNPC82827632111778,29063,Credit,2931.29,653
55,XJCN67996030063360,18048,Credit,1101.41,734
56,OZYF08533942406987,891,Credit,3928.09,673
57,YMVB06916476657397,14562,Credit,154.56,772
58,VTBU53529791923844,15770,Checking,265.43,599
59,WGVV33951656404568,6585,Savings,693.36,678
60,YYGS31819751528908,3087,Savings,1181.05,763
61,PHDD77526587430803,26158,Savings,2007.46,692
62,RBQL40077598576793,19124,Savings,1515.44,637
63,HVOL05543005749639,17548,Savings,2202.9,683
64,WAEC68703692841975,62,Checking,506.62,657
65,NTYK77844173389330,6445,Savings,2440.64,719
66,DLAR27597582237361,17643,Credit,3446.56,741
67,ZZHO92806290129650,14478,Credit,706.69,664
68,NMAU19381525407573,9327,Savings,4960.05,747
69,LZNF46595779945874,5195,Savings,1778.44,649
70,TNHY05536714919023,22199,Credit,3378.26,705
71,IKTY92119211565599,12764,Checking,3702.98,709
72,ZIEI16489580263158,17970,Savings,2439.26,710
73,YNIP86469673487360,14623,Savings,2745.13,746
74,EPYN86343378890095,24334,Checking,1463.68,694
75,SYMN92689810672801,19471,Checking,1284.99,712
76,AEZY82642516179322,5623,Checking,266.66,668
77,GCWL48609575712784,5534,Savings,3824.57,716
78,UXOL11983385975763,25692,Checking,3488.96,788
79,KVEA96457577822190,7511,Credit,696.45,690
80,HJQK25340296057954,19481,Credit,4409.85,826
81,DERE75323990776895,5754,Savings,2535.38,671
82,HLFA51163675295425,9269,Checking,3717.74,620
83,REYZ44716269416248,7785,Checking,30.56,664
84,HJUE23901559596853,17032,Savings,3702.63,625
85,TQXP19132217271763,16965,Savings,2606.04,710
86,HMEI62454699912127,9878,Savings,3032.65,789
87,ZCHQ07375511333806,28102,Savings,793.52,641
88,PQDJ09547097707775,16311,Checking,2896.65,720
89,CGUJ22106020296962,21726,Savings,3849.67,629
90,STHO72501072138021,7497,Checking,3153.37,702
91,YJYP69335023013819,4841,Credit,1414.78,649
92,DRWC45112211520036,13639,Checking,695.33,667
93,SDXI30254057005868,4104,Credit,110.21,660
94,VITA29670392258533,22408,Credit,3662.76,704
95,JUKZ23609729636214,19848,Credit,2501.04,648
96,QIID88363761193430,5280,Savings,3183.72,749
97,ALGN59536413248678,5323,Savings,4113.88,616
98,VACR54419987436084,15408,Savings,933.92,717
99,ICYW98862623196560,24066,Checking,391.34,654
100,NBAJ36200188823466,23360,Credit,2913.65,716
101,FEFS42873681530433,15341,Checking,1400.29,551
102,VAKC72124776170216,19465,Checking,1557.9,745
103,VKFF39366082461268,7728,Credit,3370.38,766
104,HSNE18510625201987,22585,Savings,138.05,768
105,FJKR26718524311727,6631,Savings,3314.89,765
106,OOTJ83685410011888,10452,Credit,2696.69,599
107,VFKH91189204503661,180,Credit,2013.27,717
108,LRPH90401793487264,620,Savings,2399.98,733
109,WMIK87225018486809,17602,Savings,2855.75,671
110,UVTQ42410679997547,5922,Savings,965.93,793
111,TQXS72249836401629,8000,Credit,673.25,693
112,VRVS18454957763987,10203,Credit,5013.28,604
113,NWQO82495261633806,5451,Credit,2394.23,701
114,XLOZ79007587276329,24624,Credit,4519.82,608
115,BCWK93003990531664,5653,Checking,3109.48,646
116,MRCO50758483038523,12593,Credit,3518.02,754
117,JXXM15632493233076,26452,Credit,2616.63,778
118,AXIP16616006364342,8516,Savings,1785.62,703
119,JQFB56015893560091,26834,Credit,2168.3,728
120,HJST36743881806084,27807,Savings,5202.43,793
121,ZQGG18727288804425,27194,Credit,656.25,671
122,ICYN43840838767968,16809,Checking,269.83,670
123,YEJW06385944279764,3443,Checking,8.37,643
124,CMIZ54794662058035,19740,Credit,2816.99,694
125,EJYL10850609768558,28201,Checking,8.68,694
126,HEWI35621532580236,21395,Checking,3644.73,635
127,CESH00464503602190,6156,Checking,3187.92,628
128,VVUX84893768115860,15117,Savings,2936.05,679
129,UFJJ91350258532575,3682,Checking,270.19,629
130,WXUO60566288347643,19932,Credit,4506.82,607
131,BXBT38063726781741,8064,Savings,2855.5,720
132,KQKF22555548252561,3005,Savings,2245.25,669
133,JMMA71779791358185,5388,Credit,1409.82,660
134,ERHS45595608986418,29476,Savings,926.21,760
135,JIGR96660416143299,26469,Credit,2486.01,755
136,IMFU52381386626047,3080,Savings,348.77,747
137,KPVP07783601667793,2589,Checking,1718.36,762
138,SBUV39666662832547,4298,Checking,1796.43,744
139,JCQZ04640309316122,7194,Checking,440.07,716
140,QSPF35564196067135,10197,Savings,2159.76,659
141,QCTJ92945212885194,28680,Credit,1091.78,687
142,ECSY14935877308590,16079,Checking,3658.07,606
143,EEZK63228701566246,24093,Checking,2820.74,768
144,QSRB69912049386730,18979,Checking,2430.63,778
145,WDRR77561917812222,23621,Savings,1125.82,688
146,NMKV45303748057921,19646,Checking,555.99,705
147,MHKL13880813550088,11795,Checking,188.38,679
148,NCAD53585751958581,19685,Savings,2709.17,667
149,IQJK29386063831594,14076,Credit,1381.66,717
150,UKDJ20400763188118,4883,Checking,3874.35,709
151,TGCT19900951723135,25806,Credit,2821.8,736
152,WPKT15211309176714,15462,Checking,3733.3,828
153,NGMD88728191861090,9860,Checking,4675.63,604
154,MAAV91903690431667,20204,Savings,3692.56,647
155,BCYQ73494769073599,2616,Credit,141.37,650
156,ZQAZ55901158443416,26791,Checking,519.85,697
157,ZSCZ91317467951187,9613,Checking,1548.44,690
158,NJTL63796364707113,9751,Credit,384.52,594
159,BYBM92860885955335,15417,Checking,1054.56,742
160,PMDR27005467995721,10337,Checking,3554.42,632
161,YRYY67521407350129,2162,Checking,3439.84,683
162,EADS36336813045671,9687,Credit,1672.28,719
163,QBWD95802043669999,24265,Savings,234.89,695
164,MKNV02672786456337,1337,Savings,3160.43,690
165,NDAX96548113729620,18541,Savings,2886.71,740
166,PXVA50451455940301,12465,Checking,2443.37,629
167,MQNK72292989233997,3116,Savings,708.67,698
168,PLFC06034606236330,26304,Checking,1859.08,693
169,EEKR49218748715084,4446,Savings,4311.65,754
170,WZIN54959329273003,19926,Savings,653.75,716
171,ULGS13364710290126,22344,Checking,4276.74,657
172,EYRQ45765775835259,207,Checking,1961.07,760
173,XWFL64154591074852,27963,Savings,2956.85,674
174,RYAO47667055349535,19891,Credit,2080.89,686
175,NCUA17235575708985,13347,Credit,1975.8,660
176,UXTD82738581188446,20477,Credit,2939.82,681
177,MQAH55031573694285,17558,Credit,4074.05,699
178,GLWQ75125595474595,4368,Savings,2206.07,750
179,QMVV18025442947086,26180,Checking,923.35,699
180,GTMY39408626903823,3203,Savings,4040.48,669
181,BZSP38708877591485,3845,Savings,1231.91,730
182,TRXS46246623314712,22979,Checking,2742.58,746
183,MBWD87535044101623,4020,Checking,2278.66,787
184,CNUZ78355590105353,22809,Savings,3696.93,691
185,HCTG10768642039629,15814,Checking,856.73,769
186,EHET25126818644970,22598,Checking,3101.51,705
187,VIXD71557842177986,6961,Checking,1085.2,722
188,NYIZ97108369210813,8163,Checking,264.25,657
189,XODY39217815917061,12242,Savings,4167.97,704
190,WNKG96548365946526,7617,Credit,3664.05,677
191,ATKF04291812934843,10636,Checking,2662.95,723
192,HZOL15530868826674,22376,Checking,3113.64,722
193,TFKH77521597557510,11566,Savings,2981.28,667
194,XPSN14094041202515,5030,Checking,391.24,666
195,XADE89425176447388,18062,Savings,1601.41,812
196,DFMC53249202772528,28656,Savings,2863.54,620
197,NMBR09507225201557,3335,Savings,1253.08,661
198,AZGS74711363614733,14002,Credit,1699.55,667
199,IONN31243528007187,21823,Savings,393.37,771
200,NOUR08950395045536,3984,Checking,1483.37,650
201,NMVX13774910713075,18368,Savings,3852.67,760
202,VDWA20685093424441,18615,Savings,347.0,732
203,JBJJ57410898976766,11920,Credit,2626.14,732
204,ZSRA13830531629214,19773,Savings,833.83,723
205,KPPU06319586315945,29875,Savings,689.43,657
206,PVWX25090176227574,10263,Savings,3189.31,682
207,ODIR51268859080339,3245,Checking,2277.94,704
208,OJNG41105876416568,22602,Checking,1871.79,691
209,PHJS39596431557804,24122,Credit,2414.27,701
210,FPTJ67657002548846,13743,Savings,4441.45,635
211,WXIK89119338770229,16980,Checking,1859.05,775
212,HEUE28748100320165,7856,Savings,741.45,712
213,YGRG80865228960795,23125,Savings,2747.43,664
214,YAAB75183490113875,22711,Checking,999.66,639
215,LTXD27048674250642,16742,Savings,2134.33,681
216,FLQS35217742132031,27700,Checking,989.48,633
217,GOYJ77308582525000,13083,Credit,1239.5,693
218,YILC40367478267973,22093,Checking,2017.99,758
219,WUNP45160128927571,13939,Savings,1769.69,715
220,GCVM26879918095686,13932,Checking,462.58,796
221,JGMX24865797590322,24207,Checking,1622.3,737
222,CPAT67420882836400,8677,Savings,3522.48,802
223,JNKH88117962648255,2269,Credit,979.09,716
224,JRFH83265800553451,16201,Savings,1276.16,774
225,ESAI59675706687956,27316,Savings,2265.1,707
226,TCJB47669580476497,23247,Credit,1344.97,809
227,JYWC00117287602613,5518,Savings,499.34,717
228,QECF06219895227882,3603,Credit,151.54,691
229,EMUW55940730429956,20384,Checking,384.07,692
230,PTXX16268948670215,14379,Checking,3305.17,690
231,YUWA80656508620458,19670,Credit,2001.84,626
232,FTSB47218594070686,19791,Savings,852.21,619
233,KULP64739963878929,25363,Checking,139.1,654
234,JYYB04241352980547,10871,Credit,2437.17,727
235,XAVN82922810427843,4134,Savings,1571.01,685
236,OTVS83251879287923,15509,Credit,3973.13,710
237,YXDC48399155809846,13853,Checking,3070.68,737
238,XIGC47732004331062,20479,Checking,2935.94,668
239,CNOJ15589671242812,29275,Checking,2688.42,730
240,XTLB71196280177754,15567,Checking,2624.64,717
241,AYTZ87935089029688,19761,Savings,1603.15,670
242,WTIO34434438334370,26872,Savings,3747.33,745
243,NWSU35037368601883,5869,Checking,671.59,689
244,UATT01543051462464,16120,Checking,1000.26,601
245,EIIL74485672938443,28048,Checking,2624.98,815
246,SSHA63560163487139,12767,Checking,958.2,631
247,ZZKS90700371774964,14447,Credit,2857.12,706
248,UICF13352346195997,22031,Credit,1472.15,776
249,NHWK59484865232371,8542,Checking,2556.75,764
250,ILKX53588951234451,5635,Savings,3662.89,710
251,PEPF57582725848838,8533,Checking,824.47,741
252,RRQN99493518952369,226,Credit,2169.51,652
253,IKDN95266714931699,24848,Credit,1297.3,543
254,HRNG20099359572445,13887,Checking,3571.54,834
255,NJHM56450544880838,1231,Checking,1995.35,684
256,KWNR31657589218981,1983,Savings,2559.03,656
257,WNUY73466680627401,11292,Checking,2058.18,690
258,GRRF61646789496769,20365,Savings,1636.33,726
259,BWUW81709578249986,22863,Checking,3000.56,732
260,DJRN13414240698223,13708,Savings,1793.64,677
261,DUYC42125289526682,26459,Savings,214.55,656
262,CBNN09144744299118,2078,Credit,2217.06,695
263,HNWQ67424456209576,26004,Checking,497.38,768
264,VQZP26915158648722,17308,Savings,2883.53,735
265,YIYL63548975070563,24438,Credit,2798.18,683
266,JNRX01155421795860,24181,Credit,4821.96,695
267,CRIT44095105832465,851,Savings,1990.96,772
268,QRTL33133390561291,116,Savings,1207.47,722
269,ALEW30612991460367,28605,Savings,2511.83,696
270,ZKFX30391660815197,25543,Savings,394.18,662
271,SWPO60540498736237,23172,Credit,264.95,645
272,NUDJ07969515932354,16977,Credit,2120.07,711
273,OFSV74616927912398,9883,Savings,3543.84,658
274,JGLR91865623682348,4344,Credit,947.3,731
275,OZUD38196568571676,18654,Savings,1823.19,690
276,OZLA31132225332641,11749,Savings,2251.26,635
277,IFHJ15461738201348,22065,Savings,967.51,702
278,KBXU04080473185988,10838,Checking,720.35,682
279,XLAG51602848506989,11223,Checking,1999.31,645
280,FCDB49802695150984,6574,Credit,2868.13,782
281,FNKN70281726095082,27509,Credit,432.73,716
282,OPLT74095439925719,15813,Savings,2652.64,742
283,XDHQ50943366168348,1742,Credit,108.43,765
284,TRPZ95304116472308,19928,Checking,454.71,690
285,PLSP98827068753587,4251,Credit,18.38,686
286,ABTB23433039217465,12815,Checking,3685.62,718
287,CKEX54504837746108,4808,Credit,3283.39,620
288,VHBJ46691135534947,11728,Savings,357.81,737
289,CVML52631452362593,7992,Checking,1411.25,774
290,SVCH93121925838531,3647,Credit,4289.78,760
291,EPOF75683800962950,1723,Credit,3504.2,699
292,NXAU37827597246158,13502,Savings,2156.53,770
293,TJMC07400818833257,10355,Savings,1159.93,639
294,YHTQ60797487317234,4130,Checking,279.31,723
295,BDOB27049062369839,12490,Savings,2835.52,682
296,XVYS84579667955267,28006,Credit,648.77,718
297,WHZF53920553144530,23101,Credit,614.24,729
298,EKFQ64898775424034,28824,Credit,528.8,717
299,VCGA86007340205442,21702,Checking,2319.25,662
300,SDFX19213122192219,2554,Savings,2669.33,705
301,HLVM52308166785118,23506,Credit,1181.23,710
302,JXCS71493659914268,13685,Checking,1891.4,713
303,NLBW33636370205361,17362,Savings,755.17,655
304,DZCO75624498418893,7499,Savings,2599.14,703
305,GFNU50516560990611,10641,Credit,5090.39,725
306,WJCO00324826815768,10389,Checking,869.29,750
307,HNNS96426301444654,24374,Checking,2522.25,676
308,DOVW36844416450912,7111,Credit,2154.27,628
309,WHRP23331921322808,24549,Checking,2264.03,757
310,IICR46803237292030,2864,Checking,2722.22,782
311,AZOP86617195686072,6231,Checking,2522.26,785
312,YNEW14746597001712,20468,Savings,2339.76,732
313,BIQY82508644079578,10916,Credit,1616.18,720
314,RGUD97478454009506,24716,Checking,3305.22,688
315,DUMY39156625625346,24179,Checking,1474.67,687
316,MFYP71538788832357,12234,Checking,1632.04,712
317,XASD31376560070789,19552,Credit,35.1,737
318,GBVN39143857011123,15104,Credit,4030.22,596
319,JMXG84727884070925,13298,Savings,753.6,695
320,AYQQ34406532659879,12652,Savings,3294.23,742
321,MDND13625910487915,2416,Credit,841.68,694
322,GRMG61678672936230,7231,Checking,4917.36,697
323,HBFY73931947889378,19795,Checking,620.75,756
324,FEBH13082110603708,24664,Savings,3986.73,716
325,LPRZ73690456211247,23631,Savings,1324.82,711
326,TDYF31118782707895,14834,Credit,219.82,703
327,LVPJ25645365276204,10001,Checking,1192.13,704
328,ZGQX51794708900301,22269,Checking,4365.49,740
329,KKZW78107797847750,20055,Checking,1729.23,707
330,BSZZ85070047750571,4651,Credit,2406.81,709
331,WOCY28935172746748,24140,Savings,833.55,675
332,KBFW02638294527949,18820,Savings,2117.74,706
333,ODAB19370472559713,311,Checking,1758.75,740
334,JSQD40707912300222,1819,Savings,1567.6,684
335,NHKW72375142659370,8892,Savings,1386.51,757
336,UOOW00307653686863,1686,Credit,3958.95,682
337,JTOP92793363568385,27930,Checking,2457.61,788
338,JTNA92795044730723,14852,Checking,2241.76,690
339,GCCJ47366832692724,22906,Credit,2580.27,797
340,CYUU48653850476041,2928,Credit,3973.2,715
341,HRNA30525047033543,22519,Checking,892.1,697
342,CNZG86899430576922,26056,Savings,2831.39,794
343,IVYZ14549127036123,16013,Checking,1329.81,715
344,QDOZ12573531466720,18803,Savings,1055.38,735
345,PQNW10305219693667,20645,Checking,1521.38,738
346,BULB09156764945165,1102,Credit,3818.17,676
347,EDXV04870480800209,6638,Savings,2432.58,643
348,QEXT15281952625395,18988,Checking,964.98,682
349,IKEG81820747582606,14317,Checking,3108.14,727
350,UJPT28300859848585,22736,Checking,3789.15,691
351,ZSLM47978927303874,27458,Credit,2209.38,722
352,MPFN11123512217063,9428,Savings,4362.62,697
353,GOUP02603769805415,23171,Credit,1622.71,716
354,BZZZ63361847052984,3451,Savings,131.83,718
355,QCLR46469760808175,28500,Credit,2930.81,677
356,JXAH37376815755377,27786,Checking,438.7,746
357,TUQX56934073659845,6477,Credit,4500.5,715
358,LHOG44317707572886,17002,Credit,2895.1,647
359,OWXG70042884110641,5215,Checking,540.05,711
360,CYEK11815946484524,26774,Savings,344.49,698
361,ODUZ85194574948723,4250,Savings,4415.14,661
362,RZME66630410398665,8857,Credit,5198.94,736
363,EZLQ04812325001285,20711,Credit,1732.26,626
364,UPYE36579048873046,11339,Checking,4522.01,722
365,SDGR90581968774093,6108,Credit,393.31,629
366,CAAN67850204969496,15557,Credit,782.47,689
367,ECFZ70911445690623,9164,Credit,1769.75,710
368,RCTW89745466622602,19229,Savings,342.14,618
369,TXVZ00362529884289,19219,Savings,3558.59,770
370,HUCO66806325970616,2959,Checking,3359.79,649
371,EJKD17554971100372,17116,Credit,1209.51,665
372,CLUD65626429359151,9340,Credit,727.95,680
373,RBDF66596289238586,26045,Savings,2660.56,762
374,NCKT55665352740308,23412,Credit,2121.64,695
375,LTDC17566737556748,695,Checking,1297.85,769
376,WBBO73257872229920,22126,Savings,1479.64,663
377,NDGK03085517875836,16805,Savings,2771.7,728
378,IHRA21244493668443,9513,Credit,616.86,762
379,RBCK27059039412594,27599,Credit,1289.44,615
380,SIXU47166100346269,7190,Checking,4398.1,812
381,SZAV26835280480054,27037,Credit,1275.18,731
382,MEDK87164764267154,3648,Credit,1868.91,687
383,WXNS86839740869675,808,Savings,29.34,704
384,VHKA95369814154688,18774,Checking,3272.89,673
385,QGOY69653139678774,81,Credit,3595.73,678
386,JROB36159334640348,1959,Checking,2315.97,711
387,XNID49073108976737,19522,Savings,2036.73,609
388,VHDS82861802130807,18113,Checking,142.04,630
389,UUFC22286692890417,4360,Savings,894.54,634
390,RKQS16101287225976,17599,Credit,335.54,720
391,MHKI58700138284036,28688,Credit,2852.85,721
392,CYAW09185911771254,26249,Checking,162.6,661
393,PBAV68552915654012,17991,Credit,4874.92,663
394,IZMB26341105273432,28431,Checking,2110.27,697
395,GQPQ27652893203448,15317,Checking,2685.16,689
396,CVSE53600370703012,7767,Savings,171.57,644
397,GAPO47172726729542,17642,Checking,4410.81,651
398,BFDH41733686061158,11424,Checking,3842.25,748
399,UWYI28053258635815,6042,Checking,4987.08,674
400,IXMF91954351451270,27005,Credit,4239.85,693
401,MMAG78477711299925,5088,Checking,4636.54,683
402,LQPO74220346195650,13278,Savings,959.5,614
403,HMVZ53455883453902,675,Credit,362.14,638
404,HDYV43062711230267,15028,Checking,387.12,714
405,MCKD94764166455192,16690,Checking,3744.05,677
406,TELS90364870660157,6178,Savings,4690.64,594
407,TEER06685343807074,21151,Credit,1399.33,672
408,OXXI17384338654289,4779,Credit,3146.95,642
409,WEQA73759195347097,29845,Checking,1603.37,628
410,QJAI92507792760128,25614,Checking,406.8,729
411,ENVT28383836299660,29312,Credit,1632.22,624
412,CWTH68837544190612,23367,Credit,910.31,696
413,FLLI14908449513619,22129,Savings,404.58,660
414,ZGDD97390130181936,26302,Credit,2665.68,719
415,VSHP11313735953837,14235,Credit,2873.51,585
416,RKPN90841374962361,10276,Savings,1738.56,712
417,SYTL57579635722702,23173,Savings,4604.53,726
418,HCUW84399642150452,3759,Savings,1482.73,704
419,UJKE49234389582905,10881,Savings,1268.45,701
420,PKOW82879050442068,13131,Savings,2548.3,738
421,MQBR39850036801352,27857,Credit,1821.78,666
422,XDFD99684149304436,13181,Savings,3315.52,735
423,RJJO12063229809870,26544,Savings,2740.14,641
424,WIVE64611540675269,26824,Credit,1403.18,661
425,MYNK03742300098043,6953,Checking,613.05,709
426,ODQM98725036037831,24506,Credit,1990.7,729
427,JLEP15373060284662,23346,Checking,1181.13,707
428,GMMY82908946091722,14890,Savings,2205.34,642
429,CLHY25575678051941,17861,Checking,4433.03,808
430,KHXD27993258908806,4863,Savings,3555.32,688
431,JWYD68639160226993,28253,Credit,3147.37,726
432,JGDT68536696717500,3035,Checking,2679.23,731
433,KFLM32083366576383,18279,Savings,535.7,654
434,WIIP41962127748488,13818,Checking,1668.6,748
435,QTXP13719239619402,19730,Credit,4737.98,700
436,PJOU96716574398186,14019,Checking,1309.04,702
437,PJVC31864363121322,16932,Credit,255.08,769
438,MTCF56676447282442,24807,Checking,3499.06,738
439,RXNJ03580970754434,4502,Checking,3272.85,746
440,JPVY15917835328162,12021,Savings,473.02,643
441,YQXP49865659078663,2631,Savings,1972.7,761
442,UNXR05780964692884,3762,Checking,2755.44,798
443,FIHO16565756802946,199,Checking,148.44,680
444,FVTE63892992255153,29154,Credit,3387.61,693
445,NPUH52815638556686,3785,Credit,4046.71,575
446,VZGP54463961439786,3193,Savings,1869.38,667
447,VXKZ48237572719534,13830,Credit,811.82,609
448,BPST71242966091316,22742,Checking,1572.96,739
449,PMPU01174963207106,5859,Credit,1536.71,773
450,HHDL83827012606733,28799,Credit,1663.0,642
451,KCSO75955856357855,25287,Checking,3372.27,711
452,DBNE20542601902401,18909,Savings,765.29,704
453,FUMZ41989302014857,7583,Credit,531.13,682
454,TGYH81711132534089,7013,Credit,3735.61,700
455,JZXW22911026819487,29556,Credit,1156.89,562
456,FWUZ07215971373547,27792,Savings,3530.25,709
457,GMOY73702565098126,20608,Credit,712.42,681
458,MVKV58196460243113,532,Savings,3758.97,670
459,LZTK16226890666814,21651,Savings,385.34,696
460,THYS96315182174343,23135,Checking,457.1,688
461,BHVG42568078834791,17757,Credit,2541.72,706
462,GTLO12971531053108,12420,Savings,819.25,749
463,OHNU36334091441646,7044,Savings,4520.22,739
464,UAXF14272862385774,21504,Credit,5593.09,606
465,OSVS63405908032901,10428,Checking,2547.36,675
466,RTRQ12474591402375,9507,Checking,4396.86,729
467,OVDS51500993370022,16246,Credit,2276.91,687
468,VKFM65571603495980,5556,Credit,2529.02,692
469,HJIF80235866469597,15073,Checking,3425.86,703
470,JSYO06526774924555,20270,Checking,2816.48,740
471,CJQJ35133697673116,15762,Checking,844.95,749
472,ZLKW96265081159699,21462,Checking,1581.8,771
473,XKLK21469291628640,5087,Checking,1629.82,769
474,YYFG03894030232774,16790,Checking,3088.59,702
475,EKZL28263350571220,11269,Checking,3664.29,674
476,CHDV18242678913628,13145,Checking,2407.05,592
477,PCGN95162626703615,27730,Credit,2087.43,710
478,TVNJ15227328876913,17575,Credit,2121.81,754
479,KSCA97039265935519,1151,Credit,3748.11,795
480,RKQJ43242624593728,27259,Credit,2365.55,722
481,XSDJ73106367329206,15733,Checking,2104.85,687
482,JFEU25633428067581,18883,Credit,598.78,672
483,XVDU97922208890554,10376,Checking,3677.69,786
484,GHVM43686691573944,1658,Checking,1751.99,674
485,PKNU62044106617870,4467,Savings,955.32,674
486,IFRT27612087877189,24209,Savings,4495.43,717
487,ETBO54726704361080,4361,Checking,4143.62,637
488,KNEW24984640220651,26968,Checking,2377.46,686
489,LATQ06903380470116,13238,Checking,1119.93,685
490,WLDW60807458336580,2091,Savings,669.44,766
491,RUNF82504412409916,11403,Credit,3264.31,738
492,LIJK50592371267277,4692,Savings,1661.54,631
493,MZSA98162990601697,13577,Savings,3095.8,653
494,AWTN18904319835443,10348,Credit,1829.17,772
495,ENTC45603728599739,28422,Savings,2449.29,721
496,SMOT43482513966221,14707,Checking,2048.79,691
497,XVPK29151997235476,12926,Credit,1089.41,743
498,OUYH07125089526375,451,Savings,2510.2,682
499,VKHO69910398376631,15776,Checking,2722.9,662
500,SIDS63565350970401,27289,Credit,3220.51,678
501,DAYH10281105130495,14856,Savings,2929.92,772
502,MOJQ14543348770748,4858,Checking,2221.09,731
503,FKNJ06264168315069,20942,Savings,1237.34,696
504,MIWB77856617650620,1357,Checking,1058.42,693
505,OLGC42987066088441,6622,Credit,158.74,686
506,LRBX05480636525857,19997,Savings,1125.29,681
507,BVXR87595224895083,24443,Savings,5672.17,730
508,JBVZ14479396041635,22507,Credit,3001.71,655
509,TPCP92500807724211,23058,Savings,1676.77,668
510,MFRX62673479777754,17130,Checking,4150.8,791
511,IVDA12159458520882,14101,Credit,3458.48,832
512,HBFH45257054825031,12526,Savings,3853.04,743
513,HOIR62894729103835,1803,Credit,1226.2,710
514,BBKX16955373735176,29541,Savings,2158.96,659
515,FQPY64110418610367,12575,Checking,3692.95,759
516,XTIX82907126007740,15191,Credit,3980.73,705
517,GPBV00056247494823,18009,Savings,1883.03,758
518,AKMA26483375148964,800,Savings,3747.17,759
519,DYPM28522280628153,10595,Savings,229.01,596
520,FDCQ25331981327768,17006,Checking,3225.92,769
521,FXIL46995583406800,27319,Savings,1087.91,668
522,BKAJ26713232099604,10741,Checking,363.88,671
523,CEBO30246138684777,5115,Checking,585.15,780
524,LVCU15708110382831,24483,Credit,4187.55,715
525,MPUU78390764083879,18332,Checking,2508.85,694
526,GNKG13652082477560,24069,Checking,783.35,665
527,BUWN65686363622251,2266,Savings,3464.01,711
528,YWKA28482510156253,28753,Savings,4000.19,714
529,ERSX15300549537776,21313,Credit,1129.21,720
530,LXKI50869413790725,780,Savings,1898.06,734
531,QLGD39961323322091,20063,Checking,429.47,695
532,LXNC41837312838005,15044,Checking,1807.73,720
533,UJAO23620758489130,26087,Credit,3257.01,735
534,UXSE91049594668085,29725,Credit,2730.94,695
535,PDDT16702440579029,29571,Checking,1420.2,617
536,GVNY49877521363858,23085,Credit,4540.84,693
537,GIWQ63493243853967,20471,Savings,1968.73,599
538,WMNX62849985087727,8681,Checking,3359.26,730
539,XUJN39907547699691,20619,Checking,428.39,655
540,RCGO36276443462224,11172,Credit,3628.68,752
